id,ano,m̻s,IPC Geral,IGPM,IPCA
1,2013,1,1.15,0.34,0.86
2,2013,2,0.22,0.29,0.6
3,2013,3,-0.17,0.21,0.47
4,2013,4,0.28,0.15,0.55
5,2013,5,0.10,0,0.37
6,2013,6,0.32,0.75,0.26
7,2013,7,-0.13,0.26,0.03
8,2013,8,0.22,0.15,0.24
9,2013,9,0.25,1.5,0.35
10,2013,10,0.48,0.86,0.57
11,2013,11,0.46,0.29,0.54
12,2013,12,0.65,0.6,0.92
13,2014,1,0.94,0.48,0.55
14,2014,2,0.52,0.38,0.69
15,2014,3,0.74,1.67,0.92
16,2014,4,0.53,0.78,0.67
17,2014,5,0.25,-0.13,0.46
18,2014,6,0.04,-0.74,0.4
19,2014,7,0.16,-0.61,0.01
20,2014,8,0.34,-0.27,0.25
21,2014,9,0.21,0.2,0.57
22,2014,10,0.37,0.28,0.42
23,2014,11,0.69,0.98,0.51
24,2014,12,0.30,0.62,0.78
25,2015,1,1.62,0.76,1.24
26,2015,2,1.22,0.27,1.22
27,2015,3,0.70,0.98,1.32
28,2015,4,1.10,1.17,0.71
29,2015,5,0.62,0.41,0.74
30,2015,6,0.47,0.67,0.79
31,2015,7,0.85,0.69,0.62
32,2015,8,0.56,0.28,0.22
33,2015,9,0.66,0.95,0.54
34,2015,10,0.88,1.89,0.82
35,2015,11,1.06,1.52,1.01
36,2015,12,0.82,0.49,0.96
37,2016,1,1.37,1.14,1.27
38,2016,2,0.89,1.29,0.9
39,2016,3,0.97,0.51,0.43
40,2016,4,0.46,0.33,0.61
41,2016,5,0.57,0.82,0.78
42,2016,6,0.65,1.69,0.35
43,2016,7,0.35,0.18,0.52
44,2016,8,0.11,0.15,0.44
45,2016,9,-0.14,0.2,0.08
46,2016,10,0.27,0.16,0.26
47,2016,11,0.15,-0.03,0.18
48,2016,12,0.72,0.54,0.3
49,2017,1,0.32,0.64,0.38
50,2017,2,-0.08,0.08,0.33
51,2017,3,0.14,0.01,0.25
52,2017,4,0.61,-1.1,0.14
53,2017,5,-0.05,-0.93,0.31
54,2017,6,0.05,-0.67,-0.23
55,2017,7,-0.01,-0.72,0.24
56,2017,8,0.10,0.1,0.19
57,2017,9,0.02,0.47,0.16
58,2017,10,0.32,0.2,0.42
59,2017,11,0.29,0.52,0.28
60,2017,12,0.55,0.89,0.44
61,2018,1,0.46,0.76,0.29
62,2018,2,-0.42,0.07,0.32
63,2018,3,0.00,0.64,0.09
64,2018,4,-0.03,0.57,0.22
65,2018,5,0.19,1.38,0.4
66,2018,6,1.01,1.87,1.26
67,2018,7,0.23,0.51,0.33
68,2018,8,0.41,0.7,-0.09
69,2018,9,0.39,1.52,0.48
70,2018,10,0.48,0.89,0.45
71,2018,11,0.15,-0.49,-0.21
72,2018,12,0.09,-1.08,0.15
73,2019,1,0.58,0.01,0.32
74,2019,2,0.54,0.88,0.43
75,2019,3,0.51,1.26,0.75
76,2019,4,0.29,0.92,0.57
77,2019,5,-0.02,0.45,0.13
78,2019,6,0.15,0.8,0.01
79,2019,7,0.14,0.4,0.19
80,2019,8,0.33,-0.67,0.11
81,2019,9,0.00,-0.01,-0.04
82,2019,10,0.16,0.68,0.1
83,2019,11,0.68,0.3,0.51
84,2019,12,0.94,2.09,1.15
85,2020,1,0.29,0.48,0.21
86,2020,2,0.11,-0.04,0.25
87,2020,3,0.10,1.24,0.07
88,2020,4,-0.30,0.8,-0.31
89,2020,5,-0.24,0.28,-0.38
90,2020,6,0.39,1.56,0.26
91,2020,7,0.25,2.23,0.36
92,2020,8,0.78,2.74,0.24
93,2020,9,1.12,4.34,0.64
94,2020,10,1.19,3.23,0.86
95,2020,11,1.03,3.28,0.89
96,2020,12,0.79,0.96,1.35
97,2021,1,0.86,2.58,0.25
98,2021,2,0.23,2.53,0.86
99,2021,3,0.71,2.94,0.93
100,2021,4,0.44,1.51,0.31
101,2021,5,0.41,4.1,0.83
102,2021,6,0.81,0.6,0.53
103,2021,7,1.02,0.78,0.96
104,2021,8,1.44,0.66,0.87
105,2021,9,1.13,-0.64,1.16
106,2021,10,1.00,0.64,1.25
107,2021,11,0.72,0.02,0.95
108,2021,12,0.57,0.87,0.73
109,2022,1,0.74,1.82,0.54
110,2022,2,0.90,1.83,1.01
111,2022,3,1.28,1.74,1.62
112,2022,4,1.62,1.41,1.06
113,2022,5,0.42,0.52,0.47
114,2022,6,0.28,0.59,0.67
115,2022,7,0.16,0.21,-0.68
116,2022,8,0.12,-0.7,-0.36
117,2022,9,0.12,-0.95,-0.29
118,2022,10,0.45,-0.97,0.59
119,2022,11,0.47,-0.56,0.41
120,2022,12,0.54,0.45,0.62
121,2023,1,0.63,0.21,0.53
122,2023,2,0.43,-0.06,0.84
123,2023,3,0.39,0.05,0.71
124,2023,4,0.43,-0.95,0.61
125,2023,5,0.20,-1.84,0.23
126,2023,6,-0.03,-1.93,-0.08
127,2023,7,-0.14,-0.72,0.12
128,2023,8,-0.20,-0.14,0.28
